Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\REBUSS.Pure.csproj,,,Microsoft.Extensions.Configuration 9.0.0,,,,,"Microsoft.Extensions.Configuration, 9.0.0  Recommendation:  Remove Microsoft.Extensions.Configuration, and replace with new package Microsoft.Extensions.Configuration 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\REBUSS.Pure.csproj,,,Microsoft.Extensions.Configuration.Json 9.0.0,,,,,"Microsoft.Extensions.Configuration.Json, 9.0.0  Recommendation:  Remove Microsoft.Extensions.Configuration.Json, and replace with new package Microsoft.Extensions.Configuration.Json 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\REBUSS.Pure.csproj,,,Microsoft.Extensions.Configuration.EnvironmentVariables 9.0.0,,,,,"Microsoft.Extensions.Configuration.EnvironmentVariables, 9.0.0  Recommendation:  Remove Microsoft.Extensions.Configuration.EnvironmentVariables, and replace with new package Microsoft.Extensions.Configuration.EnvironmentVariables 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\REBUSS.Pure.csproj,,,Microsoft.Extensions.DependencyInjection 9.0.0,,,,,"Microsoft.Extensions.DependencyInjection, 9.0.0  Recommendation:  Remove Microsoft.Extensions.DependencyInjection, and replace with new package Microsoft.Extensions.DependencyInjection 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\REBUSS.Pure.csproj,,,Microsoft.Extensions.Logging 9.0.0,,,,,"Microsoft.Extensions.Logging, 9.0.0  Recommendation:  Remove Microsoft.Extensions.Logging, and replace with new package Microsoft.Extensions.Logging 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\REBUSS.Pure.csproj,,,Microsoft.Extensions.Http 9.0.0,,,,,"Microsoft.Extensions.Http, 9.0.0  Recommendation:  Remove Microsoft.Extensions.Http, and replace with new package Microsoft.Extensions.Http 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\REBUSS.Pure.csproj,,,Microsoft.Extensions.Logging.Console 9.0.0,,,,,"Microsoft.Extensions.Logging.Console, 9.0.0  Recommendation:  Remove Microsoft.Extensions.Logging.Console, and replace with new package Microsoft.Extensions.Logging.Console 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\REBUSS.Pure.csproj,,,Microsoft.Extensions.Options.ConfigurationExtensions 9.0.0,,,,,"Microsoft.Extensions.Options.ConfigurationExtensions, 9.0.0  Recommendation:  Remove Microsoft.Extensions.Options.ConfigurationExtensions, and replace with new package Microsoft.Extensions.Options.ConfigurationExtensions 10.0.5"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\REBUSS.Pure.csproj,,,System.Text.Json 9.0.0,,,,,"System.Text.Json, 9.0.0  Recommendation:  Remove System.Text.Json, and replace with new package System.Text.Json 10.0.5"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\REBUSS.Pure.csproj,,,Azure.Identity 1.13.2,,,,,"Azure.Identity, 1.13.2  Recommendation:  This version takes a dependency on a deprecated version of MSAL .NET (Microsoft.Identity.Client). Remove Azure.Identity, and replace with new package Azure.Identity, 1.19.0"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\REBUSS.Pure.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\Cli\InitCommand.cs,509,12,T:System.Text.Json.JsonDocument,,,,,using var doc = System.Text.Json.JsonDocument.Parse(existingJson);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\Cli\InitCommand.cs,509,12,T:System.Text.Json.JsonDocument,,,,,using var doc = System.Text.Json.JsonDocument.Parse(existingJson);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\Services\Metadata\AzureDevOpsMetadataProvider.cs,91,16,T:System.Text.Json.JsonDocument,,,,,using var doc = JsonDocument.Parse(json);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\Services\Metadata\AzureDevOpsMetadataProvider.cs,91,16,T:System.Text.Json.JsonDocument,,,,,using var doc = JsonDocument.Parse(json);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\Services\Common\Parsers\IterationInfoParser.cs,24,16,T:System.Text.Json.JsonDocument,,,,,using var doc = JsonDocument.Parse(json);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\Services\Common\Parsers\IterationInfoParser.cs,24,16,T:System.Text.Json.JsonDocument,,,,,using var doc = JsonDocument.Parse(json);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\Services\Common\Parsers\PullRequestMetadataParser.cs,41,16,T:System.Text.Json.JsonDocument,,,,,using var doc = JsonDocument.Parse(json);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\Services\Common\Parsers\PullRequestMetadataParser.cs,41,16,T:System.Text.Json.JsonDocument,,,,,using var doc = JsonDocument.Parse(json);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\Services\Common\Parsers\PullRequestMetadataParser.cs,17,16,T:System.Text.Json.JsonDocument,,,,,using var doc = JsonDocument.Parse(json);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\Services\Common\Parsers\PullRequestMetadataParser.cs,17,16,T:System.Text.Json.JsonDocument,,,,,using var doc = JsonDocument.Parse(json);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\Services\Common\Parsers\FileChangesParser.cs,18,16,T:System.Text.Json.JsonDocument,,,,,using var doc = JsonDocument.Parse(json);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\Services\Common\Parsers\FileChangesParser.cs,18,16,T:System.Text.Json.JsonDocument,,,,,using var doc = JsonDocument.Parse(json);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\AzureDevOpsIntegration\Services\AzureDevOpsApiClient.cs,251,12,T:System.Net.Http.HttpContent,,,,,var contentType = response.Content.Headers.ContentType?.MediaType;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\AzureDevOpsIntegration\Services\AzureDevOpsApiClient.cs,217,12,T:System.Net.Http.HttpContent,,,,,var body = await response.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\AzureDevOpsIntegration\Services\AzureDevOpsApiClient.cs,206,16,T:System.Net.Http.HttpContent,,,,,var errorContent = await response.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\AzureDevOpsIntegration\Services\AzureDevOpsApiClient.cs,197,12,T:System.Uri,,,,,"var fullUrl = new Uri(_httpClient.BaseAddress!, relativeUrl);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\AzureDevOpsIntegration\Services\AzureDevOpsApiClient.cs,197,12,T:System.Uri,,,,,"var fullUrl = new Uri(_httpClient.BaseAddress!, relativeUrl);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\AzureDevOpsIntegration\Services\AzureDevOpsApiClient.cs,197,12,"M:System.Uri.#ctor(System.Uri,System.String)",,,,,"var fullUrl = new Uri(_httpClient.BaseAddress!, relativeUrl);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\AzureDevOpsIntegration\Services\AzureDevOpsApiClient.cs,160,16,T:System.Net.Http.HttpContent,,,,,var content = await response.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\AzureDevOpsIntegration\Services\AzureDevOpsApiClient.cs,153,20,T:System.Net.Http.HttpContent,,,,,var error = await response.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\AzureDevOpsIntegration\Services\AzureDevOpsApiClient.cs,128,16,T:System.Uri,,,,,var encodedPath = Uri.EscapeDataString(filePath);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\AzureDevOpsIntegration\Services\AzureDevOpsApiClient.cs,108,16,T:System.Net.Http.HttpContent,,,,,var content = await response.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\AzureDevOpsIntegration\Services\AzureDevOpsApiClient.cs,101,20,T:System.Net.Http.HttpContent,,,,,var error = await response.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\AzureDevOpsIntegration\Services\AzureDevOpsApiClient.cs,77,16,T:System.Uri,,,,,var encodedPath = Uri.EscapeDataString(filePath);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\AzureDevOpsIntegration\Services\AzureDevOpsApiClient.cs,28,16,T:System.Uri,,,,,"_httpClient.BaseAddress = new Uri($""https://dev.azure.com/{_options.OrganizationName}/"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\AzureDevOpsIntegration\Services\AzureDevOpsApiClient.cs,28,16,M:System.Uri.#ctor(System.String),,,,,"_httpClient.BaseAddress = new Uri($""https://dev.azure.com/{_options.OrganizationName}/"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\AzureDevOpsIntegration\Services\AzureDevOpsApiClient.cs,28,16,T:System.Uri,,,,,"_httpClient.BaseAddress = new Uri($""https://dev.azure.com/{_options.OrganizationName}/"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\AzureDevOpsIntegration\Services\AzureDevOpsApiClient.cs,26,12,T:System.Uri,,,,,"if (_httpClient.BaseAddress is null && !string.IsNullOrWhiteSpace(_options.OrganizationName))              {                  _httpClient.BaseAddress = new Uri($""https://dev.azure.com/{_options.OrganizationName}/"");              }"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\AzureDevOpsIntegration\Services\AzureDevOpsApiClient.cs,28,16,T:System.Uri,,,,,"_httpClient.BaseAddress = new Uri($""https://dev.azure.com/{_options.OrganizationName}/"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\AzureDevOpsIntegration\Services\AzureDevOpsApiClient.cs,28,16,M:System.Uri.#ctor(System.String),,,,,"_httpClient.BaseAddress = new Uri($""https://dev.azure.com/{_options.OrganizationName}/"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\AzureDevOpsIntegration\Services\AzureDevOpsApiClient.cs,28,16,T:System.Uri,,,,,"_httpClient.BaseAddress = new Uri($""https://dev.azure.com/{_options.OrganizationName}/"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\AzureDevOpsIntegration\Services\AzureDevOpsApiClient.cs,26,12,T:System.Uri,,,,,"if (_httpClient.BaseAddress is null && !string.IsNullOrWhiteSpace(_options.OrganizationName))              {                  _httpClient.BaseAddress = new Uri($""https://dev.azure.com/{_options.OrganizationName}/"");              }"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\AzureDevOpsIntegration\Configuration\AzureCliTokenProvider.cs,57,8,T:System.Text.Json.JsonDocument,,,,,using var doc = JsonDocument.Parse(json);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\AzureDevOpsIntegration\Configuration\AzureCliTokenProvider.cs,57,8,T:System.Text.Json.JsonDocument,,,,,using var doc = JsonDocument.Parse(json);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\AzureDevOpsIntegration\Configuration\AuthenticationDelegatingHandler.cs,81,16,T:System.Net.Http.HttpContent,,,,,"clone.Content.Headers.TryAddWithoutValidation(header.Key, header.Value);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\AzureDevOpsIntegration\Configuration\AuthenticationDelegatingHandler.cs,80,12,T:System.Net.Http.HttpContent,,,,,"foreach (var header in original.Content.Headers)                  clone.Content.Headers.TryAddWithoutValidation(header.Key, header.Value);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\AzureDevOpsIntegration\Configuration\AuthenticationDelegatingHandler.cs,78,12,T:System.Net.Http.HttpContent,,,,,clone.Content = new ByteArrayContent(content);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\AzureDevOpsIntegration\Configuration\AuthenticationDelegatingHandler.cs,77,12,T:System.Net.Http.HttpContent,,,,,var content = await original.Content.ReadAsByteArrayAsync(cancellationToken);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\AzureDevOpsIntegration\Configuration\AuthenticationDelegatingHandler.cs,75,8,T:System.Net.Http.HttpContent,,,,,"if (original.Content is not null)          {              var content = await original.Content.ReadAsByteArrayAsync(cancellationToken);              clone.Content = new ByteArrayContent(content);                foreach (var header in original.Content.Headers)                  clone.Content.Headers.TryAddWithoutValidation(header.Key, header.Value);          }"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\AzureDevOpsIntegration\Configuration\AuthenticationDelegatingHandler.cs,70,8,T:System.Uri,,,,,"var clone = new HttpRequestMessage(original.Method, original.RequestUri);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\AzureDevOpsIntegration\Configuration\AuthenticationDelegatingHandler.cs,62,8,T:System.Net.Http.HttpContent,,,,,var contentType = response.Content.Headers.ContentType?.MediaType;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\AzureDevOpsIntegration\Configuration\GitRemoteDetector.cs,118,8,M:System.TimeSpan.FromSeconds(System.Double),,,,,process.WaitForExit(TimeSpan.FromSeconds(5));
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\Mcp\McpWorkspaceRootProvider.cs,162,12,T:System.Uri,,,,,"if (Uri.TryCreate(uri, UriKind.Absolute, out var parsed) &&                  string.Equals(parsed.Scheme, ""file"", StringComparison.OrdinalIgnoreCase))              {                  return parsed.LocalPath;              }"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\Mcp\McpWorkspaceRootProvider.cs,162,12,"M:System.Uri.TryCreate(System.String,System.UriKind,System.Uri@)",,,,,"if (Uri.TryCreate(uri, UriKind.Absolute, out var parsed) &&                  string.Equals(parsed.Scheme, ""file"", StringComparison.OrdinalIgnoreCase))              {                  return parsed.LocalPath;              }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\Program.cs,149,12,"M:Microsoft.Extensions.DependencyInjection.OptionsConfigurationServiceCollectionExtensions.Configure``1(Microsoft.Extensions.DependencyInjection.IServiceCollection,Microsoft.Extensions.Configuration.IConfiguration)",,,,,services.Configure<AzureDevOpsOptions>(configuration.GetSection(AzureDevOpsOptions.SectionName));
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,REBUSS.Pure\REBUSS.Pure.csproj,File,REBUSS.Pure\Program.cs,141,16,"M:Microsoft.Extensions.Logging.ConsoleLoggerExtensions.AddConsole(Microsoft.Extensions.Logging.ILoggingBuilder,System.Action{Microsoft.Extensions.Logging.Console.ConsoleLoggerOptions})",,,,,builder.AddConsole(options =>                  {                      options.LogToStandardErrorThreshold = LogLevel.Trace;                  });
NuGet.0005,NuGet package is deprecated,Active,Optional,1,REBUSS.Pure.Tests\REBUSS.Pure.Tests.csproj,File,REBUSS.Pure.Tests\REBUSS.Pure.Tests.csproj,,,xunit 2.9.3,,,,,"xunit, 2.9.3  Recommendation:  This package will only be updated for security issues. All future feature work has moved onto v3.  Guide for migrating from xUnit.net v2 to v3: https://xunit.net/docs/getting-started/v3/migration Remove xunit, and replace with new package xunit, 2.9.3"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,REBUSS.Pure.Tests\REBUSS.Pure.Tests.csproj,File,REBUSS.Pure.Tests\REBUSS.Pure.Tests.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
